year,mon,day,hour,min,sec,x,y,z,altitude,latitude,longitude,longitude_,L,B/B0,epoch
2017,6,24,4,11,9,6509.328538250129,2276.6797515617973,2057.0627379841635,819.8776774982307,16.703373731547703,43.0595943106656,-316.9404056893344,1.122,1.219,2017-06-24 04:11:09+00:00
2017,6,24,4,11,15,6523.421489808342,2274.389216672127,2014.7369867210607,819.8690047535301,16.350121664012722,42.977938550358544,-317.02206144964146,1.119,1.205,2017-06-24 04:11:15+00:00
2017,6,24,4,11,21,6537.263161598688,2272.0110249595946,1972.3331176554618,819.8616022613287,15.996842916941416,42.89648527136734,-317.10351472863266,1.117,1.1909999999999998,2017-06-24 04:11:21+00:00
2017,6,24,4,11,27,6550.852926226283,2269.545283603626,1929.8530529774405,819.8554773881651,15.643540542149799,42.815229554307564,-317.18477044569244,1.114,1.178,2017-06-24 04:11:27+00:00
2017,6,24,4,11,33,6564.190261501913,2266.9920881128332,1887.298434098473,819.8506372511138,15.290215218460219,42.734166334405074,-317.2658336655949,1.112,1.165,2017-06-24 04:11:33+00:00
2017,6,24,4,11,39,6577.2746549767735,2264.3515374134377,1844.6709055926974,819.8470887788217,14.936867624244766,42.653290105488395,-317.3467098945116,1.109,1.153,2017-06-24 04:11:39+00:00
2017,6,24,4,11,45,6590.105518954114,2261.6237523946497,1801.9724011141777,819.8448387208282,14.583500802389928,42.57259630051436,-317.42740369948564,1.107,1.1420000000000001,2017-06-24 04:11:45+00:00
2017,6,24,4,11,51,6602.682532798278,2258.8088021870035,1759.2039981153316,819.8438935946315,14.230110686582472,42.49207912714246,-317.50792087285754,1.105,1.13,2017-06-24 04:11:51+00:00
2017,6,24,4,11,57,6615.005126820742,2255.906813887147,1716.3676353774765,819.8442597749399,13.876700315854405,42.41173396912569,-317.5882660308743,1.103,1.12,2017-06-24 04:11:57+00:00
2017,6,24,4,12,3,6627.072828136382,2252.9178999758014,1673.464968198485,819.8459434233282,13.523270357208215,42.331556061726474,-317.6684439382735,1.101,1.11,2017-06-24 04:12:03+00:00
2017,6,24,4,12,9,6638.885173785042,2249.8421763140805,1630.4976544365813,819.8489505064281,13.169821475399983,42.251540188825516,-317.7484598111745,1.099,1.1,2017-06-24 04:12:09+00:00
2017,6,24,4,12,15,6650.441634101581,2246.6797836390124,1587.467643246952,819.8532867611821,12.816356703714183,42.171682058955355,-317.82831794104465,1.0979999999999999,1.091,2017-06-24 04:12:15+00:00
2017,6,24,4,12,21,6661.741921021476,2243.430802146412,1544.3760203124107,819.858957818903,12.462871962238264,42.09197616245797,-317.90802383754203,1.0959999999999999,1.083,2017-06-24 04:12:21+00:00
2017,6,24,4,12,27,6672.785523091928,2240.0953787342764,1501.224739213096,819.865969029669,12.109370280479247,42.012418140116154,-317.98758185988385,1.094,1.074,2017-06-24 04:12:27+00:00
2017,6,24,4,12,33,6683.572017242029,2236.673642737078,1458.015467363643,819.8743255686486,11.755852314835195,41.933003480924185,-318.0669965190758,1.093,1.067,2017-06-24 04:12:33+00:00
2017,6,24,4,12,39,6694.1009904072325,2233.1657268473496,1414.7498744337172,819.8840324103467,11.402318720068717,41.85372721385937,-318.1462727861406,1.092,1.06,2017-06-24 04:12:39+00:00
2017,6,24,4,12,45,6704.371971538472,2229.5717914985044,1371.4299229499893,819.8950942488391,11.048772520187686,41.774585279289454,-318.22541472071055,1.091,1.053,2017-06-24 04:12:45+00:00
2017,6,24,4,12,51,6714.384705378676,2225.8919278859235,1328.0567059316936,819.9075158025416,10.695209625581109,41.69557240550682,-318.3044275944932,1.09,1.046,2017-06-24 04:12:51+00:00
2017,6,24,4,12,57,6724.138739250626,2222.1263025547923,1284.632189697534,819.9213013682256,10.341633057031785,41.616684448414105,-318.3833155515859,1.089,1.04,2017-06-24 04:12:57+00:00
2017,6,24,4,13,3,6733.633700320729,2218.2750615620857,1241.1580520948457,819.9364551077024,9.988043462006074,41.53791710897133,-318.4620828910287,1.088,1.034,2017-06-24 04:13:03+00:00
2017,6,24,4,13,9,6742.8692258175,2214.3383543042305,1197.635972995042,819.9529809771757,9.634441487501935,41.45926562035993,-318.54073437964007,1.088,1.0290000000000001,2017-06-24 04:13:09+00:00
2017,6,24,4,13,15,6751.844963070411,2210.3163335028044,1154.0676341251078,819.9708827264076,9.28082777927959,41.380725757686776,-318.6192742423132,1.087,1.024,2017-06-24 04:13:15+00:00
